405.411750078 , 468.018479121
405.411750078 , 444.540678138
405.411750078 , 442.67183864
405.411750078 , 535.269947024
405.411750078 , 524.18626756
405.411750078 , 496.056553708
405.411750078 , 495.339336724
405.411750078 , 430.310854616
405.411750078 , 442.783036924
405.411750078 , 340.58715586
405.411750078 , 435.33633002
405.411750078 , 455.047717858
405.411750078 , 480.742749932
405.411750078 , 441.194037303
405.411750078 , 448.199503504
405.411750078 , 464.901686338
405.411750078 , 465.769943724
405.411750078 , 432.773954863
405.411750078 , 437.821031524
405.411750078 , 447.351827254
418.903052807 , 531.721414574
418.903052807 , 445.0817384
418.903052807 , 435.385358983
418.903052807 , 432.587881868
418.903052807 , 450.032114103
418.903052807 , 448.277321728
418.903052807 , 444.7322803
418.903052807 , 489.306326025
418.903052807 , 425.331922124
418.903052807 , 444.887623376
418.903052807 , 411.276386884
418.903052807 , 429.005647213
418.903052807 , 439.311342
418.903052807 , 434.095746797
418.903052807 , 427.939649063
418.903052807 , 429.656125272
418.903052807 , 433.02140452
418.903052807 , 422.449343711
418.903052807 , 454.602524611
418.903052807 , 461.830397579
418.903052807 , 436.261639415
418.903052807 , 425.216218324
418.903052807 , 420.766711661
418.903052807 , 420.040287627
418.903052807 , 425.739756935
418.903052807 , 405.359190437
418.903052807 , 447.05972155
418.903052807 , 430.090654388
418.903052807 , 417.069801681
418.903052807 , 420.17163889
418.903052807 , 432.852724592
418.903052807 , 444.787462513
418.903052807 , 433.296957065
418.903052807 , 446.615690046
418.903052807 , 436.155326849
402.887612581 , 409.028991731
402.887612581 , 409.904470059
402.887612581 , 399.841675471
402.887612581 , 387.490801983
402.887612581 , 414.084511164
402.887612581 , 413.73964291
402.887612581 , 406.872715257
402.887612581 , 402.226540064
402.887612581 , 414.363909674
402.887612581 , 411.403239889
402.887612581 , 399.776827574
402.887612581 , 405.18071926
402.887612581 , 404.655086299
402.887612581 , 403.883160595
402.887612581 , 392.581181723
402.887612581 , 414.365822456
402.887612581 , 401.674384477
402.887612581 , 412.657021422
402.887612581 , 386.168310223
402.887612581 , 432.990714302
402.887612581 , 428.332183385
402.887612581 , 440.144491996
402.887612581 , 426.78461587
385.816633701 , 385.152885917
385.816633701 , 392.263398679
385.816633701 , 383.15455117
385.816633701 , 376.823882367
385.816633701 , 387.849327538
385.816633701 , 386.647364834
385.816633701 , 378.08999775
385.816633701 , 377.323977381
385.816633701 , 379.646791173
385.816633701 , 386.075962315
385.816633701 , 391.656176555
385.816633701 , 366.911528893
385.816633701 , 330.49397613
385.816633701 , 364.500791696
385.816633701 , 378.562264553
385.816633701 , 383.137662465
385.816633701 , 376.279177365
385.816633701 , 392.979395672
385.816633701 , 378.406374131
385.816633701 , 386.964556739
385.816633701 , 370.555406095
385.816633701 , 377.221143669
385.816633701 , 374.263343705
385.816633701 , 384.928267875
385.816633701 , 390.33411224
348.049908876 , 356.700502786
348.049908876 , 368.383242132
348.049908876 , 344.369170535
348.049908876 , 354.055225075
348.049908876 , 363.044744158
348.049908876 , 356.543906928
348.049908876 , 317.734779379
348.049908876 , 363.120821308
348.049908876 , 371.365951481
348.049908876 , 365.328458349
348.049908876 , 361.058352162
348.049908876 , 342.188089828
348.049908876 , 346.962061818
348.049908876 , 340.748642095
348.049908876 , 354.835351197
348.049908876 , 362.420690558
348.049908876 , 364.285902302
348.049908876 , 329.890524752
348.049908876 , 357.402187501
348.049908876 , 360.239056046
295.13323307 , 301.008843258
295.13323307 , 307.664101621
295.13323307 , 308.886014401
295.13323307 , 295.11022337
295.13323307 , 273.888013201
295.13323307 , 321.066248828
295.13323307 , 327.248974832
295.13323307 , 284.228749179
295.13323307 , 302.506647211
295.13323307 , 275.565841422
295.13323307 , 318.299102816
295.13323307 , 277.812814775
295.13323307 , 326.289669652
295.13323307 , 325.357036984
295.13323307 , 279.319641245
295.13323307 , 298.460544698
295.13323307 , 314.622012105
295.13323307 , 313.168843572
295.13323307 , 338.269051546
295.13323307 , 327.859136661
295.13323307 , 323.133902784
295.13323307 , 308.362639604
295.13323307 , 307.255457744
295.13323307 , 297.526739332
295.13323307 , 311.800814393
295.13323307 , 279.215279495
295.13323307 , 317.161010166
295.13323307 , 302.380668557
241.031318903 , 239.002020939
241.031318903 , 231.303451326
241.031318903 , 258.230724695
241.031318903 , 253.699905717
241.031318903 , 260.845700805
241.031318903 , 247.128582719
241.031318903 , 242.834122785
241.031318903 , 267.559679294
241.031318903 , 261.313468633
241.031318903 , 267.740571956
241.031318903 , 237.839946014
241.031318903 , 314.444246491
241.031318903 , 259.596788886
241.031318903 , 273.49470735
241.031318903 , 293.044456004
241.031318903 , 275.751265021
241.031318903 , 277.915803709
241.031318903 , 271.034979492
241.031318903 , 287.001913547
241.031318903 , 279.772439456
241.031318903 , 245.974615709
241.031318903 , 264.415304057
241.031318903 , 235.709011234
241.031318903 , 233.105175151
241.031318903 , 268.166045816
241.031318903 , 264.480341324
241.031318903 , 233.835438235
241.031318903 , 239.228258222
241.031318903 , 258.7822556
241.031318903 , 269.598189011
241.031318903 , 261.203408236
241.031318903 , 269.061829891
231.297209859 , 259.399292993
231.297209859 , 251.08741885
231.297209859 , 240.174736447
231.297209859 , 270.062326201
231.297209859 , 281.309051667
231.297209859 , 249.655630911
231.297209859 , 236.813406567
231.297209859 , 245.016226928
231.297209859 , 233.946146636
231.297209859 , 251.823568836
231.297209859 , 247.159471207
231.297209859 , 231.938888402
231.297209859 , 236.142633672
231.297209859 , 226.378977831
231.297209859 , 242.563625871
231.297209859 , 255.386095023
231.297209859 , 241.705187649
