250,9,55,46,277,32,237,28,56,52,265,54,-28.984,0.000256241,0.000171495,4.86268,4.93631,0.00932806,-1.53846,-1.89011,18.2418,405.411750078201,3.72043834067881,143.696308135986
306,1,66,40,339,21,294,18,64,57,326,46,-20.0007,0.000256241,0.000171495,-10.0002,-20.0032,-0.000899328,0.043956,-10.0659,19.9121,405.411750078201,3.72043834067881,143.696308135986
313,20,67,64,346,52,300,50,64,58,332,79,-15.2664,0.000256241,0.000171495,-5.26693,-19.9998,-0.000899328,0.395604,-9.53846,21.4066,405.411750078201,3.72043834067881,143.696308135986
17,35,58,69,46,69,15,69,47,66,38,102,-10.0001,0.000256241,0.000171495,-0.000446343,20.0013,0.0025098,0.043956,-10.0659,29.8462,405.411750078201,3.72043834067881,143.696308135986
16,55,58,71,45,90,15,84,47,66,38,117,-10.0001,0.000256241,0.000171495,5.08951,19.3433,-0.00430846,0.043956,-10.0659,29.8462,405.411750078201,3.72043834067881,143.696308135986
144,1,66,57,177,29,138,29,60,62,168,60,-0.000604728,0.000256241,0.000171495,-20.0026,-0.000105683,-0.00430846,0.131868,-9.97802,29.9341,405.411750078201,3.72043834067881,143.696308135986
149,1,67,49,182,25,143,19,61,62,173,50,-1.89986,0.000256241,0.000171495,-19.9999,-1.92285,-0.00430846,0.747253,-8.13187,29.5824,405.411750078201,3.72043834067881,143.696308135986
177,248,54,62,204,279,166,269,55,63,193,300,0.0014452,0.000256241,0.000171495,-0.000446343,20.0013,0.0025098,-15.0769,-9.89011,19.9121,405.411750078201,3.72043834067881,143.696308135986
180,270,54,62,207,301,167,288,55,65,194,320,-9.22467e-05,0.000256241,0.000171495,4.80871,19.3876,-0.0111267,-14.989,-9.89011,19.9121,405.411750078201,3.72043834067881,143.696308135986
132,104,10,10,137,109,193,133,7,7,196,136,-10.0001,0.000256241,0.000171495,0.000468294,9.99887,0.0025098,-14.9011,-9.97802,31.6923,405.411750078201,3.72043834067881,143.696308135986
252,182,46,52,275,208,253,201,47,57,276,229,-10.0001,0.000256241,0.000171495,-10.0002,19.9996,-0.000899328,-15.2527,0.043956,8.30769,405.411750078201,3.72043834067881,143.696308135986
193,115,9,10,197,120,516,1,60,47,546,24,-20.0002,0.000256241,0.000171495,-10.0002,-20.0032,-0.000899328,-15.0769,0.043956,19.8242,405.411750078201,3.72043834067881,143.696308135986
194,128,9,10,198,133,517,3,61,56,547,31,-20.0002,0.000256241,0.000171495,-4.92942,-19.9998,-0.000899328,-15.0769,0.043956,21.4066,405.411750078201,3.72043834067881,143.696308135986
509,150,49,57,533,178,526,168,51,62,551,199,-20.0002,0.000256241,0.000171495,-0.000446343,-10.0008,-0.000899328,-14.7253,9.71429,9.89011,405.411750078201,3.72043834067881,143.696308135986
503,148,51,57,528,176,521,166,52,62,547,197,-20.0002,0.000256241,0.000171495,-0.000446343,-8.00474,0.0025098,-14.7253,9.89011,10.0659,405.411750078201,3.72043834067881,143.696308135986
236,1,63,37,267,19,229,14,63,58,260,43,-20.0002,0.000256241,0.000171495,-10.0002,-10.0008,-0.000899328,0.21978,-10.1538,20.3516,405.411750078201,3.72043834067881,143.696308135986
218,58,69,73,252,94,202,98,66,63,235,129,0.00349512,0.000256241,0.000171495,-10.0002,-10.0008,-0.000899328,0.131868,-9.97802,29.8462,405.411750078201,3.72043834067881,143.696308135986
196,29,69,72,230,65,189,73,64,63,221,104,-1.95418,0.000256241,0.000171495,-14.7892,-5.12744,-0.00430846,0.21978,-9.71429,31.0769,405.411750078201,3.72043834067881,143.696308135986
190,134,56,61,218,164,176,156,54,60,203,186,-10.0001,0.000256241,0.000171495,-0.000446343,10.004,-0.000899328,-0.043956,0.131868,20.1758,405.411750078201,3.72043834067881,143.696308135986
190,152,56,61,218,182,176,171,54,61,203,201,-5.11619,0.000256241,0.000171495,-0.000446343,10.0023,-0.00430846,0.043956,0.307692,21.5824,405.411750078201,3.72043834067881,143.696308135986
13,175,60,21,43,185,5,157,52,65,31,189,-9.99963,0.000256241,0.000171495,10.0039,10.0006,-0.000899328,15.5165,-1.01099,40.044,418.903052806854,-5.15236984938383,15.1972724124789
1,177,55,13,28,183,1,181,43,34,22,198,-11.9394,0.000256241,0.000171495,10.0011,14.7427,0.0263737,15.6044,-0.835165,39.956,418.903052806854,-5.15236984938383,15.1972724124789
319,275,58,75,348,312,306,298,63,75,337,335,-9.22467e-05,0.000256241,0.000171495,-0.000446343,-0.00181025,-0.000899328,-15.3407,-9.8022,30.022,418.903052806854,-5.15236984938383,15.1972724124789
