462.5385,228.2308,473,250.4737,-20.0002,0.000256241,0.000171495,-19.9999,-10.0008,-0.000899328,-14.989,-10.0659,30.022,-20,4.59E-41,0,-20,-10,4.59E-41,-15,-10,30,6,4
329.6,225.1,335.6667,246.6667,-20.0007,0.000256241,0.000171495,-19.9999,10.0023,0.0025098,-15.0769,-0.043956,30.1978,-20,4.59E-41,0,-20,10,4.59E-41,-15,0,30,6,4
358.4375,356.4375,377.5,377.25,-30.0002,0.000256241,0.000171495,-0.000446343,-10.0008,-0.000899328,0.131868,-9.97802,20.0879,-30,4.59E-41,0,0,-10,4.59E-41,0,-10,20,6,4
210.0769,287.4615,212.4286,305.2857,-30.0002,0.000256241,0.000171495,-0.000446343,10.0006,-0.000899328,0.043956,0.131868,29.9341,-30,4.59E-41,0,0,10,4.59E-41,0,0,30,6,4
278,435.7333,289.3077,453.1538,-20.0002,0.000256241,0.000171495,10.002,-0.00521938,-0.000899328,0.043956,0.043956,30.022,-20,4.59E-41,0,10,0,4.59E-41,0,0,30,6,4
274.2667,377.7333,293.1176,396.7059,-0.000604728,0.000256241,0.000171495,-20.0008,-0.000105683,0.0025098,0.043956,0.131868,30.022,0,4.59E-41,0,-20,0,4.59E-41,0,0,30,6,4
419.8,191.6,433.3125,214.6875,-30.0002,0.000256241,0.000171495,-19.9999,-19.9998,-0.000899328,0.043956,10.0659,19.9121,-30,4.59E-41,0,-20,-20,4.59E-41,0,10,20,6,4
414.7857,354.3571,432.9167,374.5833,-9.99912,0.000256241,0.000171495,-19.999,-19.9998,-0.000899328,0.043956,10.0659,19.9121,-10,4.59E-41,0,-20,-20,4.59E-41,0,10,20,6,4
269,269.2222,289.8,289.7,-30.0002,0.000256241,0.000171495,-19.9999,-10.0008,-0.000899328,14.989,-9.97802,10.0659,-30,4.59E-41,0,-20,-10,4.59E-41,15,-10,10,6,4
268.8,348.2667,291.6364,365.1818,-20.0002,0.000256241,0.000171495,-19.9999,-10.0008,-0.000899328,14.989,-9.89011,9.89011,-20,4.59E-41,0,-20,-10,4.59E-41,15,-10,10,6,4
174.3,212.1,196.3333,234,-29.9997,0.000256241,0.000171495,-19.9999,-0.000105683,-0.00430846,14.989,-10.0659,20,-30,4.59E-41,0,-20,0,4.59E-41,15,-10,20,6,4
113.0769,349.7692,139.8889,367.2222,-20.0002,0.000256241,0.000171495,-19.9999,10.0006,-0.000899328,14.989,-0.043956,10.0659,-20,4.59E-41,0,-20,10,4.59E-41,15,0,10,6,4
150,284.6154,168.3077,300.9231,-30.0002,0.000256241,0.000171495,-0.00136098,0.00159888,-0.000899328,14.989,0.131868,30.1099,-30,4.59E-41,0,0,0,4.59E-41,15,0,30,6,4
228.75,302.5833,240.3333,319.3333,-19.9997,0.000256241,0.000171495,-10.0002,-10.0042,0.00591893,14.989,0.043956,30.022,-20,4.59E-41,0,-10,-10,4.59E-41,15,0,30,6,4
91.58334,398.9167,106,410.3,-9.22E-05,0.000256241,0.000171495,-10.0002,10.0006,-0.000899328,14.8132,-0.131868,39.7802,0,4.59E-41,0,-10,10,4.59E-41,15,0,40,6,4
26.4375,137.5,46.27273,162,-30.0013,0.000256241,0.000171495,-19.9999,20.0013,-0.00430846,14.7253,9.8022,29.9341,-30,4.59E-41,0,-20,20,4.59E-41,15,10,30,6,4
240.5,303.4375,254.5385,321.7692,-10.0007,0.000256241,0.000171495,-19.9999,-10.0042,-0.000899328,15.0769,9.89011,29.9341,-10,4.59E-41,0,-20,-10,4.59E-41,15,10,30,6,4
447.375,358.1875,461.619,386.8095,-20.0002,0.000256241,0.000171495,-10.0002,0.00159888,-0.000899328,-14.9011,-9.97802,30.1099,-20,4.59E-41,0,-10,0,4.59E-41,-15,-10,30,7,3
537.3125,437.125,538.8571,473.3571,-20.0002,0.000256241,0.000171495,10.0002,-10.0008,-0.000899328,-14.9011,-0.131868,39.7802,-20,4.59E-41,0,10,-10,4.59E-41,-15,0,40,7,3
553.3333,384.9333,567.3077,419.1154,-20.0002,0.000256241,0.000171495,-0.000446343,-10.0008,-0.000899328,-14.989,10.0659,40.1319,-20,4.59E-41,0,0,-10,4.59E-41,-15,10,40,7,3
414.1818,450,438.8333,473.6667,-20.0002,0.000256241,0.000171495,-10.0002,-10.0008,-0.000899328,-0.131868,-9.97802,10.0659,-20,4.59E-41,0,-10,-10,4.59E-41,0,-10,10,7,3
414.0769,400.1538,433,423.1429,-20.0002,0.000256241,0.000171495,-10.0002,-10.0008,-0.000899328,0.043956,-10.0659,20.0879,-20,4.59E-41,0,-10,-10,4.59E-41,0,-10,20,7,3
465.2222,447.7222,462.0625,470.375,-10.0001,0.000256241,0.000171495,-0.000446343,-19.9998,-0.000899328,0.043956,-10.0659,40.044,-10,4.59E-41,0,0,-20,4.59E-41,0,-10,40,7,3
461.2,408.4667,473.5385,430.6923,-20.0002,0.000256241,0.000171495,-10.0002,-19.9998,-0.000899328,0.131868,9.89011,20,-20,4.59E-41,0,-10,-20,4.59E-41,0,10,20,7,3
257.2308,408.8462,266.0833,430.9167,-20.0002,0.000256241,0.000171495,-10.0002,10.0057,-0.00430846,0.043956,9.97802,20.0879,-20,4.59E-41,0,-10,10,4.59E-41,0,10,20,7,3
345.6667,431.3333,351.375,455.3125,-20.0002,0.000256241,0.000171495,-0.00136098,-0.000105683,0.0025098,-0.131868,9.8022,29.8462,-20,4.59E-41,0,0,0,4.59E-41,0,10,30,7,3
