65.5,126,25.5,126,-10.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,35.0,0.204897,0.53,0.504256
168.6316,104.2105,135.3684,103.7895,-10.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,35.0,0.068049,0.53,0.562739
286.2222,75.5,256.5,74.5,-10.0,0.0,-0.103223,-0.0,-0.0,0.0,-5.997606,0.632295,35.0,-0.136,0.53,0.658365
129,124,93.09091,124.0909,-10.0,0.0,-0.056827,-0.0,-0.0,0.0,-8.902338,-1.564504,35.0,0.161125,0.53,0.514051
245.25,92.25,211.75,91.75,-10.0,-0.0,-0.074231,-0.0,-0.0,0.0,-9.386343,-2.971898,35.0,-0.143905,0.53,0.584491
127.6154,94.61539,99.28571,93.5,-10.0,-0.015668,-0.230154,-0.0,-0.0,0.0,-9.115037,-7.647763,35.0,0.19428,0.53,0.655924
229.1282,179.1282,183.5714,178.7714,-10.0,-0.016814,-0.08361,-0.0,-0.0,-0.0,-12.49593,-10.893328,35.0,-0.0101455,0.53,0.405755
214.325,204.975,166,204.6667,-10.0,-0.021997,-0.101043,-0.0,-0.0,-0.0,-15.253417,-12.703926,35.000001,0.0607597,0.53,0.370472
154.9091,136.9091,116.3462,136.6538,-10.0,-0.022231,-0.207885,-0.0,0.0,-0.0,-21.483341,-11.031137,35.000001,0.122871,0.53,0.486967
285.4,102.96,250.2593,102.5926,-10.0,0.026835,0.466567,-0.0,-0.0,-0.0,-11.013811,-4.735164,35.000001,-0.169496,0.53,0.548023
311.22,173.08,266.9348,174.413,-10.0,-0.005507,0.01334,-0.0,-0.0,0.0,-9.793597,-6.494593,35.000001,-0.203421,0.53,0.381601
158.5714,176.2286,111.9189,177.4595,-10.0,-0.007134,0.428194,-0.0,-0.0,-0.0,0.809613,-6.593137,35.000001,0.0385529,0.53,0.403664
242.3214,123.3214,204.5862,123.2759,-10.0,0.00054,0.084163,-0.0,-0.0,-0.0,-2.013698,-3.95308,35.000001,-0.124564,0.53,0.491558
157.0909,137.0909,120,137.2917,-10.0,-0.048389,0.149659,-0.0,-0.0,0.0,-1.895734,-7.918721,35.000001,0.0976754,0.53,0.491944
167.303,168.9091,123.5,169.5,-10.0,-0.022123,0.05079,-0.0,0.0,-0.0,-17.288897,-6.187238,35.000001,0.0845157,0.53,0.415147
123.5714,181.7714,79.05128,182.7179,-10.0,-0.02105,0.270332,-0.0,-0.0,0.0,-10.372969,-3.56917,35.000001,0.0866453,0.53,0.403253
59.38,229.62,7.8,231.6,-10.0,-0.121477,0.29172,-0.0,-0.0,0.0,-2.514514,-7.779247,35.000001,0.204928,0.53,0.331341
172.5,80.28571,143.2857,79.5,-10.0,-0.034886,0.117886,-0.0,-0.0,0.0,-7.520263,-6.793976,35.000001,0.10176,0.53,0.656003
229.5,129.7857,191.5,129.7857,-10.0,0.004017,0.189644,-0.0,-0.0,0.0,-10.51885,-2.684647,35.000001,0.0181656,0.53,0.498731
284.1765,189.451,235.76,190.76,-10.0,0.017684,0.128451,0.0,-0.0,0.0,-21.794878,9.267261,35.000001,-0.00394953,0.53,0.396124
